Amenity,ParkNumber,AmenityCount
BASKETBALL BACKBOARDS,236,4
BASKETBALL COURTS,236,1
BASEBALL JR/SOFTBALL/T-BALL,236,2
PLAYGROUND,236,1
BASEBALL SR,236,2
BASKETBALL BACKBOARDS,1072,4
BASKETBALL COURTS,1072,1
BOCCE COURT,1072,2
FOOTBALL SOCCER COMBO,1072,1
HORSESHOE COURTS,1072,2
BASEBALL JR/SOFTBALL/T-BALL,1072,2
PLAYGROUND,1072,1
SPRAY FEATURE,1072,1
DOG-FRIENDLY,488,1
FOOTBALL SOCCER COMBO,1060,1
BASEBALL JR/SOFTBALL/T-BALL,1060,2
PLAYGROUND,1060,1
SPRAY FEATURE,1060,1
FOOTBALL SOCCER COMBO,47,1
BASEBALL JR/SOFTBALL/T-BALL,47,1
PLAYGROUND,47,1
TENNIS COURTS,47,2
BASKETBALL BACKBOARDS,446,2
BASKETBALL COURTS,446,1
PLAYGROUND,446,1
BASKETBALL BACKBOARDS,13,4
BASKETBALL COURTS,13,2
FOOTBALL SOCCER COMBO,13,1
FITNESS CENTER,13,1
GYMNASIUM,13,1
BASEBALL JR/SOFTBALL/T-BALL,13,5
POOL OUTDOOR,13,1
PLAYGROUND,13,1
SPORT ROLLER COURTS,13,1
SPRAY FEATURE,13,1
BASEBALL SR,13,2
TENNIS COURTS,13,9
WATER SLIDE,13,1
WHEELCHAIR ACCESSIBLE BALL FIELDS,251,1
FOOTBALL SOCCER COMBO,251,1
GYMNASIUM,251,1
ICE SKATING,251,1
BASEBALL JR/SOFTBALL/T-BALL,251,8
POOL OUTDOOR,251,1
PLAYGROUND,251,1
SPRAY FEATURE,251,1
BASEBALL SR,251,3
TENNIS COURTS,251,4
BASKETBALL BACKBOARDS,1118,2
BASKETBALL COURTS,1118,1
PLAYGROUND,1118,1
BASKETBALL BACKBOARDS,45,4
BASKETBALL COURTS,45,2
FOOTBALL SOCCER COMBO,45,1
FITNESS CENTER,45,1
GYMNASIUM,45,1
HORSESHOE COURTS,45,2
BASEBALL JR/SOFTBALL/T-BALL,45,2
POOL OUTDOOR,45,1
PLAYGROUND,45,1
SPRAY FEATURE,45,1
BASEBALL SR,45,2
TENNIS COURTS,45,4
FOOTBALL SOCCER COMBO,48,1
BASEBALL JR/SOFTBALL/T-BALL,48,5
POOL OUTDOOR,48,1
PLAYGROUND,48,1
VOLLEYBALL,48,1
BASEBALL SR,48,1
TENNIS COURTS,48,4
FOOTBALL SOCCER COMBO,248,1
GYMNASIUM,248,1
ICE SKATING,248,1
BASEBALL JR/SOFTBALL/T-BALL,248,4
PLAYGROUND,248,1
SPRAY FEATURE,248,1
BASEBALL SR,248,2
BASKETBALL BACKBOARDS,373,4
BASKETBALL COURTS,373,1
FOOTBALL SOCCER COMBO,373,1
BASEBALL JR/SOFTBALL/T-BALL,373,1
PLAYGROUND,373,1
BASKETBALL BACKBOARDS,1132,6
BASKETBALL COURTS,1132,3
PLAYGROUND,1132,1
BASKETBALL BACKBOARDS,287,4
BASKETBALL COURTS,287,1
BASEBALL JR/SOFTBALL/T-BALL,287,2
PLAYGROUND,287,1
TENNIS COURTS,287,2
VOLLEYBALL SAND,287,1
BASKETBALL BACKBOARDS,1041,2
BASKETBALL COURTS,1041,1
FOOTBALL SOCCER COMBO,1041,1
HORSESHOE COURTS,1041,1
BASEBALL JR/SOFTBALL/T-BALL,1041,1
PLAYGROUND,1041,1
SPRAY FEATURE,1041,1
BASEBALL SR,1041,1
VOLLEYBALL SAND,1041,1
BASKETBALL BACKBOARDS,379,4
BASKETBALL COURTS,379,2
FOOTBALL SOCCER COMBO,379,1
GYMNASIUM,379,1
BASEBALL JR/SOFTBALL/T-BALL,379,3
PLAYGROUND,379,1
SPRAY FEATURE,379,1
TENNIS COURTS,379,2
BASKETBALL BACKBOARDS,225,2
BASKETBALL COURTS,225,1
FOOTBALL SOCCER COMBO,225,1
FITNESS CENTER,225,1
GYMNASIUM,225,1
POOL INDOOR,225,1
BASEBALL JR/SOFTBALL/T-BALL,225,2
PLAYGROUND,225,1
SPRAY FEATURE,225,1
BASEBALL SR,225,1
TENNIS COURTS,225,5
FOOTBALL SOCCER COMBO,17,1
FITNESS CENTER,17,1
GYMNASIUM,17,1
POOL INDOOR,17,1
BASEBALL JR/SOFTBALL/T-BALL,17,6
PLAYGROUND,17,1
SPRAY FEATURE,17,1
BASEBALL SR,17,1
TENNIS COURTS,17,4
BASKETBALL BACKBOARDS,288,4
BASKETBALL COURTS,288,1
BASEBALL JR/SOFTBALL/T-BALL,288,1
PLAYGROUND,288,1
SPRAY FEATURE,288,1
BASEBALL SR,288,1
PLAYGROUND,1080,1
DOG-FRIENDLY,507,1
PLAYGROUND PARK,1288,1
FITNESS CENTER,515,1
GYMNASIUM,515,1
POOL INDOOR,515,1
PLAYGROUND,515,1
COMMUNITY GARDEN,518,1
BASKETBALL BACKBOARDS,228,4
BASKETBALL COURTS,228,2
FOOTBALL SOCCER COMBO,228,4
FITNESS CENTER,228,1
GYMNASIUM,228,1
BASEBALL JR/SOFTBALL/T-BALL,228,9
PLAYGROUND,228,1
BASEBALL SR,228,3
TENNIS COURTS,228,6
PLAYGROUND PARK,1107,1
PLAYGROUND PARK,1084,1
BASEBALL JR/SOFTBALL/T-BALL,85,1
PLAYGROUND,85,1
FOOTBALL SOCCER COMBO,147,2
GARDEN,147,1
GYMNASIUM,147,1
POOL INDOOR,147,1
BASEBALL JR/SOFTBALL/T-BALL,147,4
POOL OUTDOOR,147,1
PLAYGROUND,147,1
SENIOR CENTER,147,1
SPORT ROLLER COURTS,147,1
BASEBALL SR,147,1
TENNIS COURTS,147,6
WATER PLAYGROUND,147,1
WATER SLIDE,147,1
PLAYGROUND,1211,1
SPRAY FEATURE,1211,1
COMMUNITY GARDEN,493,1
PLAYGROUND,493,1
FOOTBALL SOCCER COMBO,185,1
GYMNASIUM,185,1
BASEBALL JR/SOFTBALL/T-BALL,185,3
PLAYGROUND,185,1
BASEBALL SR,185,1
TENNIS COURTS,185,4
PLAYGROUND PARK,1281,1
FOOTBALL SOCCER COMBO,83,1
FITNESS CENTER,83,1
GYMNASIUM,83,1
POOL INDOOR,83,1
BASEBALL JR/SOFTBALL/T-BALL,83,3
PLAYGROUND,83,1
SPRAY FEATURE,83,1
TENNIS COURTS,83,4
FITNESS CENTER,364,1
GYMNASIUM,364,1
POOL INDOOR,364,1
BASEBALL JR/SOFTBALL/T-BALL,364,1
PLAYGROUND,364,1
BASKETBALL BACKBOARDS,1064,2
BASKETBALL COURTS,1064,1
PLAYGROUND,1064,1
SPRAY FEATURE,1064,1
PLAYGROUND,1164,1
SPRAY FEATURE,1164,1
PLAYGROUND,497,1
BASKETBALL BACKBOARDS,210,4
BASKETBALL COURTS,210,2
FOOTBALL SOCCER COMBO,210,1
COMMUNITY GARDEN,210,1
FITNESS CENTER,210,1
GYMNASIUM,210,1
HORSESHOE COURTS,210,2
BASEBALL JR/SOFTBALL/T-BALL,210,3
POOL OUTDOOR,210,1
PLAYGROUND,210,1
SPRAY FEATURE,210,1
BASEBALL SR,210,1
TENNIS COURTS,210,2
BASKETBALL BACKBOARDS,448,8
BASKETBALL COURTS,448,2
FITNESS COURSES,448,1
BASEBALL JR/SOFTBALL/T-BALL,448,1
PLAYGROUND,448,1
SPRAY FEATURE,448,1
TENNIS COURTS,448,2
BASKETBALL BACKBOARDS,260,4
BASKETBALL COURTS,260,2
FOOTBALL SOCCER COMBO,260,1
BASEBALL JR/SOFTBALL/T-BALL,260,3
PLAYGROUND,260,1
BASEBALL SR,260,1
FOOTBALL SOCCER COMBO,1025,1
FITNESS CENTER,1025,1
GYMNASIUM,1025,1
BASEBALL JR/SOFTBALL/T-BALL,1025,1
PLAYGROUND,1025,1
SPRAY FEATURE,1025,1
BASEBALL SR,1025,1
BASKETBALL BACKBOARDS,1273,2
BASKETBALL COURTS,1273,1
PLAYGROUND PARK,1273,1
BASKETBALL BACKBOARDS,1012,4
BASKETBALL COURTS,1012,2
FOOTBALL SOCCER COMBO,1012,1
BASEBALL JR/SOFTBALL/T-BALL,1012,3
PLAYGROUND,1012,1
SPRAY FEATURE,1012,1
TENNIS COURTS,1012,2
VOLLEYBALL SAND,1012,1
PLAYGROUND PARK,397,1
ARTIFICIAL TURF FIELDS,12,1
BASKETBALL BACKBOARDS,12,4
BASKETBALL COURTS,12,1
FOOTBALL SOCCER COMBO,12,2
GARDEN,12,1
GYMNASIUM,12,2
HANDBALL,12,2
BASEBALL JR/SOFTBALL/T-BALL,12,4
POOL OUTDOOR,12,1
PLAYGROUND,12,1
SPRAY FEATURE,12,1
BASEBALL SR,12,2
TENNIS COURTS,12,4
TRACK,12,1
FOOTBALL SOCCER COMBO,242,2
FITNESS CENTER,242,1
GYMNASIUM,242,1
POOL INDOOR,242,1
BASEBALL JR/SOFTBALL/T-BALL,242,4
PLAYGROUND,242,1
