park_number,park_name,street_address,acres,label_field,amenity1,amenity2,amenity3,amenity4,amenity5,amenity6,amenity7,amenity8,amenity9,amenity10,amenity11,amenity12,amenity13,amenity14,amenity15,amenity16,amenity17,amenity18,amenity19,amenity20,amenity21,amenity22,amenity23,amenity24,amenity25,amenity26,amenity27,amenity28,amenity29,amenity30,amenity31,amenity32,amenity33,amenity34,amenity35,amenity36,amenity37,amenity38,amenity39,amenity40,amenity41,amenity42,amenity43,amenity44,amenity45,amenity46,amenity47,amenity48,amenity49,amenity50,amenity51,amenity52,amenity53,amenity54,amenity55,amenity56,amenity57,amenity58,amenity59,amenity60,amenity61,amenity62,amenity63,amenity64,amenity65,amenity66,zip_number,ward_number,parkclass_number,amenity_sum,parkclass_number,park_class,ward_number,ward,zip_number,zip
177,BRAINERD,1246 W 92ND ST,8.23,Brainerd,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,10,20,10,COMMUNITY PARK,23,21,32,60620
1122,LUELLA,10021 S LUELLA AVE,1.2,Luella,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,1,4,1,NEIGHBORHOOD PARK,41,10,25,60617
1210,DIXON (LORRAINE),8931 S DAUPHIN AVE,5.31,Dixon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,4,1,4,PASSIVE PARK,1,8,49,60619
405,DEBOW (RUSSELL),1126 E 80TH ST,0.55,Debow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,1,1,1,NEIGHBORHOOD PARK,1,8,49,60619
29,AVALON,1215 E 83RD ST,27.84,Avalon,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,49,1,9,26,9,REGIONAL PARK,1,8,49,60619
363,BURNSIDE (AMBROSE),9400 S GREENWOOD AVE,5.92,Burnside,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,10,7,10,COMMUNITY PARK,1,8,49,60619
244,GATELY (JAMES),810 E 103RD ST,25.04,Gately,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,10,18,10,COMMUNITY PARK,1,8,48,60628
388,WASHINGTON (DINAH),8215 S EUCLID AVE,0.42,Washington (Dinah),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,3,1,3,MINI-PARK,1,8,25,60617
237,OWENS (JESSE),2100 E 88TH ST,17.23,Owens,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,10,17,10,COMMUNITY PARK,1,8,25,60617
231,ROSENBLUM (J. LESLIE),2000 E 75TH ST,10.84,Rosenblum,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,10,16,10,COMMUNITY PARK,1,8,21,60649
